	Identifier	Description
0	clms_global_albh_1km_v1_10daily_netcdf	Broadband Hemispherical Surface Albedo: global 10-daily (raster 1km)
1	clms_global_aldh_1km_v1_10daily_netcdf	Broadband Hemispherical Surface Albedo: global 10-daily (raster 1km)
2	clms_global_ba_300m_v3_daily_netcdf	Burnt Area: global daily (raster 300m)
3	clms_global_ba_300m_v3_monthly_netcdf	Burnt Area: global monthly (raster 300m)
4	clms_global_dmp_1km_v2_10daily_netcdf	Dry Matter Productivity: global 10-daily (raster 1km)
5	clms_global_dmp_300m_v1_10daily_netcdf	Dry Matter Productivity: global 10-daily (raster 300m)
6	clms_global_fapar_1km_v1_10daily_netcdf	Fraction of Absorbed Photosynthetically Active Radiation: global 10-daily (raster 1km)
7	clms_global_fapar_1km_v2_10daily_netcdf	Fraction of Absorbed Photosynthetically Active Radiation: global 10-daily (raster 1km)
8	clms_global_fapar_300m_v1_10daily_netcdf	Fraction of Absorbed Photosynthetically Active Radiation: global 10-daily (raster 300m)
9	clms_global_fcover_1km_v1_10daily_netcdf	Fraction of Absorbed Photosynthetically Active Radiation: global 10-daily (raster 1km)
10	clms_global_fcover_1km_v2_10daily_netcdf	Fraction of Absorbed Photosynthetically Active Radiation: global 10-daily (raster 1km)
11	clms_global_fcover_300m_v1_10daily_netcdf	Fraction of Vegetation Cover: global 10-daily (raster 300m)
12	clms_global_gdmp_1km_v2_10daily_netcdf	Gross Dry Matter Productivity: global 10-daily (raster 1km)
13	clms_global_gdmp_300m_v1_10daily_netcdf	Gross Dry Matter Productivity: global 10-daily (raster 300m)
14	clms_global_gpp_300m_v1_10daily_netcdf	Gross Primary Productivity: global 10-daily (raster 300m)
15	clms_global_lai_1km_v1_10daily_netcdf	Leaf Area Index: global 10-daily (raster 1km)
16	clms_global_lai_1km_v2_10daily_netcdf	Leaf Area Index: global 10-daily (raster 1km)
17	clms_global_lai_300m_v1_10daily_netcdf	Leaf Area Index: global 10-daily (raster 300m)
18	clms_global_lst_5km_v1_10daily-daily-cycle_netcdf	Land Surface Temperature: global 10-daily Daily Cycle (raster 5km)
19	clms_global_lst_5km_v1_10daily-tci_netcdf	Land Surface Temperature: global 10-daily Thermal Condition Index (raster 5km)
20	clms_global_lst_5km_v1_hourly_netcdf	Land Surface Temperature: global hourly (raster 5km)
21	clms_global_lst_5km_v2_10daily-daily-cycle_netcdf	Land Surface Temperature: global 10-daily Daily Cycle (raster 5km)
22	clms_global_lst_5km_v2_10daily-tci_netcdf	Land Surface Temperature: global 10-daily Thermal Condition Index (raster 5km)
23	clms_global_lst_5km_v2_hourly_netcdf	Land Surface Temperature: global hourly (raster 5km)
24	clms_global_ndvi_1km_v2_10daily_netcdf	Normalized Difference Vegetation Index: global 10-daily (raster 1km)
25	clms_global_ndvi_1km_v3_10daily_netcdf	Normalized Difference Vegetation Index: global 10-daily (raster 1km)
26	clms_global_ndvi_300m_v1_10daily_netcdf	Normalized Difference Vegetation Index: global 10-daily (raster 300m)
27	clms_global_ndvi_300m_v2_10daily_netcdf	Normalized Difference Vegetation Index: global 10-daily (raster 300m)
28	clms_global_npp_300m_v1_10daily_netcdf	Net Primary Productivity: global 10-daily (raster 300m)
29	clms_global_ssm_1km_v1_daily_netcdf	Surface Soil Moisture: global daily (raster 1 km)
30	clms_global_swi_12.5km_v3_10daily_netcdf	Soil Water Index: global 10-daily (raster 12.5 km)
31	clms_global_swi_12.5km_v3_daily_netcdf	Soil Water Index: global daily (raster 12.5 km)
32	clms_global_swi_1km_v1_daily_netcdf	Soil Water Index: global daily (raster 1 km)
33	clms_global_tocr_1km_v1_10daily_netcdf	Top Of Canopy Reflectance: global 10-daily (raster 1km)
34	clms_global_wl_lakes_v2_daily_geojson	Lake Water Level: observation time series (vector)
35	clms_global_wl_rivers_v2_daily_geojson	Lake Water Level: observation time series (vector)
