	municipio	provincia	codigo_ngbe_text	huso_etrs89_regcan95	long_etrs89_regcan95	lat_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95
0	abla	almeria	División administrativa.Municipio	30	-2.77953953	37.1412099	519579.3849	4110560.174
1	abrucena	almeria	División administrativa.Municipio	30	-2.7974669	37.13218285	517989.3667	4109555.201
2	antas	almeria	División administrativa.Municipio	30	-1.91715315	37.24459175	596039.5078	4122555.585
3	armuna de almanzora	almeria		30				
4	finana	almeria		30				
5	gallardos  los	almeria		30				
6	gergal	almeria		30				
7	huercal overa	almeria		30				
8	lucainena de las torres	almeria	División administrativa.Municipio	30	-2.2011865	37.0402677	571038.423	4099637.724
9	nacimiento	almeria	División administrativa.Municipio	30	-2.64792293	37.10502345	531283.3493	4106581.052
10	oria	almeria	División administrativa.Municipio	30	-2.29602131	37.48360163	562238.7439	4148754.749
11	senes	almeria		30				
12	seron	almeria		30				
13	somontin	almeria		30				
14	sorbas	almeria	División administrativa.Municipio	30	-2.124113	37.09821538	577833.4621	4106126.677
15	tabernas	almeria	División administrativa.Municipio	30	-2.39150625	37.04984427	554106.301	4100574.892
16	tahal	almeria	División administrativa.Municipio	30	-2.28473564	37.22770702	563451.5745	4120372.751
17	turrillas	almeria	División administrativa.Municipio	30	-2.26512269	37.0299004	565361.3777	4098441.769
18	uleila del campo	almeria	División administrativa.Municipio	30	-2.2035137	37.18525562	570696.5367	4115720.703
19	alcala del valle	cadiz		30				
20	algodonales	cadiz	División administrativa.Municipio	30	-5.40470441	36.88076763	285687.4832	4084345.672
21	arcos de la frontera	cadiz	División administrativa.Municipio	30	-5.80640518	36.74821011	249447.4521	4070614.045
22	espera	cadiz	División administrativa.Municipio	30	-5.80597479	36.87151829	249887.7162	4084296.121
23	gastor  el	cadiz		30				
24	grazalema	cadiz	División administrativa.Municipio	30	-5.36966273	36.75954041	288477.388	4070816.534
25	jerez de la frontera	cadiz	División administrativa.Municipio	29	-6.1287534	36.70212746	756496.2534	4065672.13
26	olvera	cadiz	División administrativa.Municipio	30	-5.26815266	36.93513981	298002.6173	4090080.544
27	prado del rey	cadiz	División administrativa.Municipio	30	-5.55753213	36.78745433	271787.403	4074345.753
28	puerto serrano	cadiz	División administrativa.Municipio	30	-5.54691548	36.92280153	273135.6075	4089338.796
29	setenil	cadiz		30				
30	torre alhaquime	cadiz		30				
31	villamartin	cadiz		30				
32	zahara	cadiz	División administrativa.Municipio	30	-5.39031673	36.84027651	286857.4527	4079820.635
33	adamuz	cordoba	División administrativa.Municipio	30	-4.52617749	38.02512572	366047.5658	4209701.901
34	aguilar	cordoba		30				
35	alcaracejos	cordoba	División administrativa.Municipio	30	-4.96709118	38.38656136	328197.3469	4250537.962
36	almedinilla	cordoba	División administrativa.Municipio	30	-4.09001992	37.43947257	403573.8104	4144183.945
37	almodovar del rio	cordoba		30				
38	baena	cordoba	División administrativa.Municipio	30	-4.32895878	37.61318847	382708.0673	4163729.189
39	belmez	cordoba	División administrativa.Municipio	30	-5.20945663	38.2732496	306726.3439	4238442.246
40	benameji	cordoba		30				
41	bujalance	cordoba	División administrativa.Municipio	30	-4.38339381	37.89649386	378368.2753	4195232.936
42	cabra	cordoba	División administrativa.Municipio	30	-4.44656669	37.47101586	372084.8917	4148108.246
43	canete de las torres	cordoba		30				
44	carcabuey	cordoba	División administrativa.Municipio	30	-4.27306704	37.44453021	387387.8835	4144948.123
45	carlota  la	cordoba		30				
46	carpio  el	cordoba		30				
47	castro del rio	cordoba		30				
48	cordoba	cordoba		30				
49	dona mencia	cordoba		30				
