	id	codigo_ngbe	codigo_ngbe_text	nombre_extendido	identificador_geografico	nombre_alternativo_2	nombre_alternativo_3	nombre_variante_1	nombre_variante_2	nombre_variante_3	fuente_extendido	fuente_idg	fuente_alternativo_2	fuente_alternativo_3	fuente_variante_1	fuente_variante_2	fuente_variante_3	idioma_extendido	idioma_idg	idioma_alternativo_2	idioma_alternativo_3	idioma_variante_1	idioma_variante_2	idioma_variante_3	estatus_extendido	estatus_idg	estatus_alternativo_2	estatus_alternativo_3	estatus_variante_1	estatus_variante_2	estatus_variante_3	long_etrs89_regcan95	lat_etrs89_regcan95	huso_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95	hojamtn_25	codigo_ine	provincias_nombre	provincias_id
26	2721827	1.2	División administrativa.Provincia		Granada							MFOMENTO.IGN.NGCE							spa							Oficial						-3.60001883	37.17641932	30.0	446736.015389033	4114611.96456054	1009c4	18087	Granada	18
108	2709286	1.3	División administrativa.Municipio		Alameda							MITMA.IGN.NGMEP														Oficial						-4.66026922	37.2094587	30.0	352676.380947227	4119399.72657431	1006c4	29001000000	Málaga	29
146	2709289	1.3	División administrativa.Municipio		Alfarnatejo							MITMA.IGN.NGMEP														Oficial						-4.27201165	36.97957361	30.0	386788.543533401	4093362.41793364	1039c2	29004000000	Málaga	29
232	2708424	1.3	División administrativa.Municipio		Villanueva del Arzobispo							MITMA.IGN.NGMEP														Oficial						-3.0118661	38.16962851	30.0	498960.592427753	4224635.9943077	0886c4	23097000000	Jaén	23
522	2706971	1.3	División administrativa.Municipio		Baena							MITMA.IGN.NGMEP														Oficial						-4.32895878	37.61318847	30.0	382708.067290348	4163729.18871309	0967c2	14007000000	Córdoba	14
863	2705296	1.3	División administrativa.Municipio		Oria							MITMA.IGN.NGMEP														Oficial						-2.29602131	37.48360163	30.0	562238.74390066	4148754.74902774	0995c2	04070000000	Almería	04
882	2705312	1.3	División administrativa.Municipio		Sorbas							MITMA.IGN.NGMEP														Oficial						-2.124113	37.09821538	30.0	577833.462075748	4106126.6765531	1031c1	04086000000	Almería	04
883	2809055	1.3	División administrativa.Municipio		Lucainena de las Torres							MITMA.IGN.NGMEP														Oficial						-2.2011865	37.0402677	30.0	571038.42300996	4099637.72390905	1030c4	04060000000	Almería	04
887	2705231	1.3	División administrativa.Municipio		Abla							MITMA.IGN.NGMEP														Oficial						-2.77953953	37.1412099	30.0	519579.38485188	4110560.17406819	1029c1	04001000000	Almería	04
1030	2706703	1.3	División administrativa.Municipio		Jerez de la Frontera							MITMA.IGN.NGMEP														Oficial						-6.1287534	36.70212746	29.0	756496.253396758	4065672.13020983	1048c3	11020000000	Cádiz	11
1031	2706712	1.3	División administrativa.Municipio		Puerto Serrano							MITMA.IGN.NGMEP														Oficial						-5.54691548	36.92280153	30.0	273135.607541175	4089338.79563675	1035c2	11029000000	Cádiz	11
