	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
0	000-00000-00	2015-08-25	2015-09-30	276171.0	4082574.0	36
1	000-00000-00-0	2015-08-24	2015-09-29	232382.86	4072834.94	36
2	000-00900-00-U0	2006-04-24	2009-11-16	449521.0	4124050.0	1302
3	000-00999-00-00	2006-05-02	2009-11-18	449772.0	4123208.0	1296
4	000-00999-00-FC	2006-05-02	2006-10-31	449772.0	4123208.0	182
5	001-00001-00-06	2012-03-27	2012-04-30	455827.26	4161193.04	34
6	001-00001-01	2017-08-22	2020-06-10	373853.0	4158528.0	1023
7	001-00002-00-00	2006-03-22	2007-11-19	297056.0	4179284.0	607
8	001-00002-01	2019-07-01	2019-10-14			105
9	001-00003-00-00	2006-04-28	2011-11-21	399592.0	4153969.0	2033
10	001-00003-00-A0	2006-03-28	2008-11-05	304302.0	4088459.0	953
11	001-00003-01	2019-07-01	2021-03-23	304176.0	4088336.0	631
12	001-00003-01-01	2009-03-17	2014-11-18	304302.0	4088459.0	2072
13	001-00003-02-00	2009-03-16	2010-11-16	294503.0	4083056.0	610
14	001-00003-02-01	2011-03-30	2021-03-24	294503.0	4083056.0	3647
15	001-00003-09	2021-03-17	2021-03-17	325476.0	4183581.0	0
16	001-00003-34	2018-04-04	2021-03-17	325800.0	4183079.0	1078
17	001-00004-00-00	2006-03-01	2009-11-25	176722.0	4148423.0	1365
18	001-00004-00-10	2006-04-28	2006-11-15	326630.0	4183572.0	201
19	001-00004-01-0	2009-03-10	2021-03-22	435536.0	4124949.0	4395
20	001-00004-02-00	2010-03-15	2021-03-22	344773.0	4115370.0	4025
21	001-00005-01-00	2017-03-20	2021-03-22	287272.0	4180102.0	1463
22	001-00006	2020-04-07	2020-10-28	464989.0	4221345.0	204
23	001-00006-00-00	2006-03-22	2006-11-21	361200.0	4152500.0	244
24	001-00006-01	2017-02-21	2020-09-16	464989.0	4221345.0	1303
25	001-00006-04	2011-06-22	2011-11-23	357293.0	418204.0	154
26	001-00006-07	2020-03-24	2020-04-29	752729.0	4129869.0	36
27	001-00006-08-00	2011-05-11	2013-11-18	369983.0	4204764.0	922
28	001-00008-00-00	2006-04-18	2007-11-12	464733.0	4220368.0	573
29	001-00009-02-02	2017-03-21	2021-03-29	3275048694.0	41263889983.0	1469
30	001-00009-02-06	2010-03-10	2011-11-15	383347.0	4116966.0	615
31	001-00010-00-00	2006-04-04	2009-11-23	352455.0	4117053.0	1329
32	001-00010-01	2009-03-09	2021-03-22	419997.0	4137650.0	4396
33	001-00010-08-01	2010-03-10	2021-03-24	355335.0	4115402.0	4032
34	001-00013-01-00	2017-07-25	2018-03-21	279890.0	4099008.0	239
35	001-00013-02-01	2013-03-25	2021-03-22	347372.0	4123671.0	2919
36	001-00014-03	2012-03-28	2020-11-04	436030.0	4126187.0	3143
37	001-00014-13	2015-07-01	2015-11-10	436030.0	4126187.0	132
38	001-00015-10	2015-08-26	2015-11-11	457167430170.0	4142861114670.0	77
39	001-00017-00-00	2006-03-21	2006-05-02	392618.0	4201436.0	42
40	001-00018-00-10	2009-10-26	2009-10-26			0
41	001-00019-11	2020-03-24	2021-03-17	752729.0	4129869.0	358
42	001-00021-00-00	2006-08-01	2012-11-06	421674.0	4111002.0	2289
43	001-00021-06-08	2006-08-01	2018-09-04	421674.0	4111002.0	4417
44	001-00022-00-00	2017-03-08	2020-09-01	344371.0	4131997.0	1273
