	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
4	000-00999-00-FC	2006-05-02	2006-10-25	449772.0	4123208.0	176.0
5	001-00001-00-06	2012-03-27	2012-04-23	455827.26	4161193.04	27.0
18	001-00004-00-10	2006-04-28	2006-11-08	326630.0	4183572.0	194.0
22	001-00006	2020-04-07	2020-10-13	464989.0	4221345.0	189.0
23	001-00006-00-00	2006-03-22	2006-11-14	361200.0	4152500.0	237.0
25	001-00006-04	2011-06-22	2011-11-16	357293.0	418204.0	147.0
26	001-00006-07	2020-03-24	2020-04-20	752729.0	4129869.0	27.0
37	001-00014-13	2015-07-01	2015-11-03	436030.0	4126187.0	125.0
38	001-00015-10	2015-08-26	2015-10-28	457167430170.0	4142861114670.0	63.0
39	001-00017-00-00	2006-03-21	2006-04-24	392618.0	4201436.0	34.0
46	001-00023-01	2020-03-24	2020-04-20	752729.0	4129869.0	27.0
56	001-00029-01-00	2015-03-18	2015-03-18	369577.0	4123223.0	0.0
62	001-00033-00-C0	2008-03-12	2008-10-07	306324.0	4088148.0	209.0
67	001-00033-06-1	2013-03-18	2013-11-04	384370.0	4117114.0	231.0
84	001-00065-01	2009-03-09	2009-11-02	429643.0	4144047.0	238.0
89	001-00072-00-00	2006-03-28	2006-11-08	272642.0	4076103.0	225.0
93	001-00078-00-00	2006-04-18	2006-10-17	377703.0	4121120.0	182.0
96	001-00084-02-01	2021-03-03	2021-03-24	309401.0	4100807.0	21.0
101	001-00096-04-01	2015-03-16	2015-11-03	456580.0	4162096.0	232.0
104	001-00098-03-08	2014-03-19	2014-11-12	411252.0	4117932.0	238.0
138	001-00164-02-02	2015-03-16	2015-11-03	456401.0	4160754.0	232.0
146	001-00176-01	2016-04-11	2016-10-10	440494.0	4144056.0	182.0
151	001-00191-01-00	2019-08-05	2019-09-09	375685.0	4157639.0	35.0
165	001-00271-00-00	2006-03-27	2006-06-05	530077.0	4248011.0	70.0
167	001-00280-01	2009-03-09	2009-11-04	418383.0	4148544.0	240.0
177	001-00351-01-01	2016-04-11	2016-10-10	440874.0	4146304.0	182.0
182	001-00390-06-00	2011-03-22	2011-11-08	470009.0	4147946.0	231.0
195	001-00496-01	2012-03-21	2012-11-21	358649.0	4124327.0	245.0
197	001-00496-01-01	2010-03-10	2010-11-17	358649.0	4124327.0	252.0
199	001-00589-01-00	2017-03-29	2017-05-10	438340.0	4144550.0	42.0
200	001-00589-01-01	2016-04-11	2016-10-10	438340.0	4144550.0	182.0
203	001-006-1	2021-03-09	2021-03-17	464989.0	4221345.0	8.0
214	001-00788-00-10	2006-03-29	2006-10-25	523974.0	4236930.0	210.0
215	001-00829-01	2015-09-08	2015-10-07	439597.0	4143464.0	29.0
217	001-00859-00-00	2006-03-21	2006-11-14	502694.0	4174844.0	238.0
220	001-00895-00-00	2006-03-28	2006-06-06	524697.0	4237882.0	70.0
223	002-00001-00-06	2008-05-13	2008-10-14	277247.0	4081516.0	154.0
229	002-00002-02	2019-07-01	2019-10-07	372210.0	4158784.0	98.0
232	002-00004-01-97	2021-03-17	2021-03-17	425275.0	4207965.0	0.0
233	002-00004-03-98	2020-08-11	2020-10-14	425051.0	4207812.0	64.0
235	002-00005-003-0	2012-03-19	2012-03-30	343737.0	4147675.0	11.0
236	002-00005-003-3	2012-03-19	2012-11-20	343737.0	4147675.0	246.0
243	002-00008-01-01	2010-03-10	2010-11-17	372264.0	4126001.0	252.0
251	002-00018-00-00	2006-03-27	2006-06-26	343500.0	4150000.0	91.0
255	002-00020-01	2009-03-01	2009-11-03	436068.0	4127734.0	247.0
256	002-00021-00-00	2006-04-04	2006-10-31	356284.0	4118075.0	210.0
