codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days	lat	lon
020-00214-00-00	2006-03-10	2021-09-23	377518.0	4197104.0	5676	37.91323881011201	-4.393379823463809
009-00015-00-00	2006-03-22	2021-09-23	311584.0	4174787.0	5664	37.70096565030806	-5.137257363226295
003-00073-00-00	2006-05-08	2021-09-23	491145.0	4194796.0	5617	37.90064273951696	-3.1007215301095234
043-00145-00-00	2006-03-01	2021-03-16	416689.344	4134089.73	5494	37.34977161667904	-3.9406415308320057
015-00002-00-00	2006-03-08	2021-03-16	297633.0	4167623.0	5487	37.63347170545013	-5.293407945399714
043-00190-00-00	2006-05-08	2021-03-16	414104.93	4132252.31	5426	37.33297604554471	-3.969604852434957
017-00291-00-00	2006-05-08	2021-03-15	412711.85	4128357.65	5425	37.29774507238627	-3.9848700856522625
026-00192-00-00	2006-05-10	2021-03-16	402270.48	4131473.94	5424	37.32479107118931	-4.103071237089492
039-00017-00-00	2006-05-10	2021-03-15	411587.22	4136549.98	5423	37.37147257808031	-3.9985344418955147
044-00049-00-00	2006-05-29	2021-03-23	467394.0	4201417.0	5412	37.95977542557904	-3.371174755709975
094-00150-00-00	2006-05-30	2021-03-24	466016.0	4209316.0	5412	38.030916215838545	-3.387235189887436
089-00337-00-00	2006-05-30	2021-03-24	468356.0	4202406.0	5412	37.96872310172084	-3.3602674509739594
087-00093-00-00	2006-05-29	2021-03-23	470794.0	4202116.0	5412	37.96619111978205	-3.3324994423453163
019-00190-00-00	2006-05-29	2021-03-22	476105.0	4200835.0	5411	37.954801002598266	-3.2719937951324294
066-00006-00-00	2006-05-29	2021-03-22	467102.0	4214890.0	5411	38.081192666136204	-3.375117194489899
035-00082-00-00	2006-05-29	2021-03-22	470074.0	4195001.0	5411	37.90204129770603	-3.3404003998187504
075-00180-00-00	2006-05-30	2021-03-23	471077.0	4210428.0	5411	38.04111411941152	-3.329612824539147
048-00088-00-00	2006-05-31	2021-03-23	465391.0	4204777.0	5410	37.98998403535303	-3.394137589303364
051-00254-00-00	2006-05-31	2021-03-23	464622.0	4206448.0	5410	38.00501455191298	-3.4029773892165958
055-00156-00-00	2006-05-31	2021-03-23	464479.0	4209775.0	5410	38.03499402581073	-3.404771110542699
007-00825-00-00	2006-05-31	2021-03-23	461033.0	4210543.0	5410	38.04177393328792	-3.444079941519411
084-00148-00-00	2006-05-31	2021-03-22	471181.0	4203183.0	5409	37.97582014368623	-3.328136461286181
085-00269-00-00	2006-05-31	2021-03-22	469158.0	4203940.0	5409	37.982576295906995	-3.3512026995465547
074-00035-00-00	2006-06-12	2021-03-16	406885.5	4132929.88	5391	37.33838670145393	-4.051172624723182
034-00051-00-00	2006-06-12	2021-03-15	408964.27	4136444.65	5390	37.370269504250366	-4.0281408010035396
